HomeElo,AwayElo,HT_RecentPoints,HT_HomeRecentPoints,HT_AwayRecentPoints,HT_TotalPoints,AT_RecentPoints,AT_HomeRecentPoints,AT_AwayRecentPoints,AT_TotalPoints,HT_RecentGoals,HT_HomeRecentGoals,HT_AwayRecentGoals,HT_RecentGD,HT_HomeRecentGD,HT_AwayRecentGD,HT_TotalGoals,HT_TotalGD,AT_RecentGoals,AT_HomeRecentGoals,AT_AwayRecentGoals,AT_RecentGD,AT_HomeRecentGD,AT_AwayRecentGD,AT_TotalGoals,AT_TotalGD,HT_RecentShots,HT_HomeRecentShots,HT_AwayRecentShots,HT_RecentSOT,HT_HomeRecentSOT,HT_AwayRecentSOT,HT_TotalShots,HT_TotalSOT,AT_RecentShots,AT_HomeRecentShots,AT_AwayRecentShots,AT_RecentSOT,AT_HomeRecentSOT,AT_AwayRecentSOT,AT_TotalShots,AT_TotalSOT,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR,EloDiff,PointsDiff,RecentPointsDiff,HomeAwayPointsDiff,GoalsDiff,RecentGoalsDiff,HomeAwayGoalsDiff,GDDiff,RecentGDDiff,HomeAwayGDDiff,ShotsDiff,RecentShotsDiff,HomeAwayShotsDiff,SOTDiff,RecentSOTDiff,HomeAwaySOTDiff,ARDiff,MRDiff,DRDiff,ORDiff,B365H,B365D,B365A,Season,FTR
1008.5789681884004,980.0163125443039,,,,7,,,,1,,,,,,,7.0,2.0,,,,,,,0.0,-5.0,,,,,,,50.0,16.0,,,,,,,35.0,5.0,78,77,77,78,74,74,71,74,28.56265564409648,6,,,7.0,,,7.0,,,15.0,,,11.0,,,4,3,6,4,1.53,4.33,7.0,2014-15,A
1010.3113784879141,997.7587159267686,,,,6,,,,7,,,,,,,8.0,3.0,,,,,,,7.0,1.0,,,,,,,61.0,18.0,,,,,,,57.0,17.0,80,80,77,80,78,77,77,78,12.552662561145553,-1,,,1.0,,,2.0,,,4.0,,,1.0,,,2,3,0,2,1.75,3.9,5.0,2014-15,D
1037.7513191909425,1009.4252268960589,,,,13,,,,6,,,,,,,16.0,9.0,,,,,,,3.0,-1.0,,,,,,,85.0,32.0,,,,,,,22.0,7.0,82,82,81,83,72,74,74,75,28.32609229488355,7,,,13.0,,,10.0,,,63.0,,,25.0,,,10,8,7,8,1.22,7.0,16.0,2014-15,H
999.7765408462071,1011.3741953837937,,,,4,,,,7,,,,,,,4.0,-1.0,,,,,,,7.0,1.0,,,,,,,33.0,10.0,,,,,,,38.0,13.0,73,73,73,73,71,72,68,72,-11.59765453758655,-3,,,-3.0,,,-2.0,,,-5.0,,,-3.0,,,2,1,5,1,2.63,3.4,2.88,2014-15,H
990.0,1001.0983808172278,,,,2,,,,5,,,,,,,4.0,-1.0,,,,,,,6.0,1.0,,,,,,,29.0,11.0,,,,,,,56.0,18.0,75,73,70,73,83,82,81,82,-11.098380817227849,-3,,,-2.0,,,-2.0,,,-27.0,,,-7.0,,,-8,-9,-11,-9,6.5,4.2,1.57,2014-15,A
989.9832322755643,990.2312677693378,,,,6,,,,4,,,,,,,7.0,-1.0,,,,,,,9.0,-2.0,,,,,,,69.0,22.0,,,,,,,53.0,19.0,79,78,75,79,78,78,78,78,-0.2480354937735001,2,,,-2.0,,,1.0,,,16.0,,,3.0,,,1,0,-3,1,1.91,3.75,4.33,2014-15,D
999.2261296551005,1000.2957670948347,,,,5,,,,7,,,,,,,8.0,2.0,,,,,,,9.0,1.0,,,,,,,52.0,19.0,,,,,,,68.0,25.0,85,80,75,81,75,74,72,75,-1.0696374397341515,-2,,,-1.0,,,1.0,,,-16.0,,,-6.0,,,10,6,3,6,1.4,5.5,8.0,2014-15,H
1010.8381733161846,990.7991429586436,,,,7,,,,4,,,,,,,5.0,2.0,,,,,,,3.0,-7.0,,,,,,,49.0,20.0,,,,,,,57.0,13.0,77,75,76,76,74,74,71,75,20.039030357540923,3,,,2.0,,,9.0,,,-8.0,,,7.0,,,3,1,5,1,1.44,4.6,8.5,2014-15,H
990.0149526581688,999.4415462026901,,,,3,,,,6,,,,,,,3.0,-1.0,,,,,,,6.0,1.0,,,,,,,47.0,16.0,,,,,,,41.0,17.0,76,73,72,74,77,74,74,75,-9.426593544521324,-3,,,-3.0,,,-2.0,,,6.0,,,-1.0,,,-1,-1,-2,-1,2.9,3.3,2.63,2014-15,D
990.8365648059357,981.3732472979565,,,,4,,,,3,,,,,,,1.0,-4.0,,,,,,,1.0,-3.0,,,,,,,45.0,9.0,,,,,,,58.0,15.0,74,74,71,74,71,70,71,70,9.46331750797924,1,,,0.0,,,-1.0,,,-13.0,,,-6.0,,,3,4,0,4,2.0,3.5,4.2,2014-15,H
1000.2387157513007,1010.7790523463203,,,,6,,,,8,,,,,,,3.0,-4.0,,,,,,,10.0,3.0,,,,,,,29.0,8.0,,,,,,,76.0,24.0,72,74,74,75,83,82,81,82,-10.540336595019653,-2,,,-7.0,,,-7.0,,,-47.0,,,-16.0,,,-11,-8,-7,-7,7.5,4.5,1.5,2014-15,A
980.3193284709075,1010.1102242478893,,,,2,,,,7,,,,,,,6.0,-3.0,,,,,,,6.0,1.0,,,,,,,39.0,16.0,,,,,,,49.0,16.0,75,73,70,73,73,73,73,73,-29.790895776981756,-5,,,0.0,,,-4.0,,,-10.0,,,0.0,,,2,0,-3,0,2.1,3.5,3.8,2014-15,H
1001.0405119821115,971.6455561332215,,,,7,0.5,,,3,,,,,,,7.0,-1.0,1.5,,,0.5,,,1.0,-7.0,,,,,,,45.0,14.0,24.0,,,7.0,,,68.0,17.0,71,72,68,72,71,70,71,70,29.39495584889005,4,,,6.0,,,6.0,,,-23.0,,,-3.0,,,0,2,-3,2,1.8,3.75,5.0,2014-15,D
989.9903713097327,1000.5642559706707,1.1666666666666667,,,7,,,,7,2.8333333333333335,,,0.16666666666666666,,,8.0,-1.0,,,,,,,5.0,0.0,25.0,,,9.0,,,93.0,30.0,,,,,,,65.0,15.0,79,78,75,79,74,74,71,74,-10.573884660938006,0,,,3.0,,,-1.0,,,28.0,,,15.0,,,5,4,4,5,1.44,5.0,7.5,2014-15,H
990.2862052735506,999.4642184166703,,,,4,,,,5,,,,,,,3.0,-1.0,,,,,,,4.0,0.0,,,,,,,62.0,19.0,,,,,,,58.0,13.0,76,73,72,74,76,75,74,76,-9.178013143119642,-1,,,-1.0,,,-1.0,,,4.0,,,6.0,,,0,-2,-2,-2,2.55,3.25,3.1,2014-15,H
1046.9378303357007,1009.9502409386774,2.6666666666666665,,,16,,,,7,4.333333333333333,,,0.3333333333333333,,,19.0,12.0,,,,,,,9.0,3.0,28.0,,,10.0,,,102.0,40.0,,,,,,,77.0,24.0,82,82,81,83,80,80,77,80,36.98758939702327,9,,,10.0,,,9.0,,,25.0,,,16.0,,,2,2,4,3,1.67,4.2,5.25,2014-15,H
1009.2569161981294,990.2241287351694,,,,8,,,,5,,,,,,,10.0,3.0,,,,,,,10.0,-2.0,,,,,,,60.0,22.0,,,,,,,64.0,24.0,85,80,75,81,78,78,78,78,19.03278746295996,3,,,0.0,,,5.0,,,-4.0,,,-2.0,,,7,2,-3,3,1.67,4.2,5.25,2014-15,H
998.1198534760052,1020.2620423759174,1.3333333333333333,,,8,,,,10,2.5,,,-0.16666666666666666,,,8.0,1.0,,,,,,,7.0,3.0,23.166666666666668,,,7.5,,,63.0,21.0,,,,,,,68.0,29.0,78,77,77,78,77,75,76,76,-22.142188899912185,-2,,,1.0,,,-2.0,,,-5.0,,,-8.0,,,1,2,1,2,2.2,3.5,3.5,2014-15,H
990.2649805518058,981.3752738989108,1.1666666666666667,,,7,,,,4,3.3333333333333335,,,-0.3333333333333333,,,10.0,0.0,,,,,,,4.0,-8.0,24.666666666666668,,,9.833333333333334,,,81.0,29.0,,,,,,,67.0,15.0,75,74,72,75,74,74,71,75,8.889706652895029,3,,,6.0,,,8.0,,,14.0,,,14.0,,,1,0,1,0,1.91,3.6,4.5,2014-15,H
1001.0108256555316,991.1746841496623,1.1666666666666667,,,7,,,,5,2.8333333333333335,,,-0.16666666666666666,,,9.0,1.0,,,,,,,8.0,-1.0,22.666666666666668,,,7.666666666666667,,,87.0,24.0,,,,,,,54.0,18.0,80,80,77,80,75,73,70,73,9.83614150586925,2,,,1.0,,,2.0,,,33.0,,,6.0,,,5,7,7,7,1.4,5.0,9.0,2014-15,D
972.489598024266,1000.0091700484312,0.6666666666666666,,,4,1.6666666666666667,,,10,1.5,,,0.8333333333333334,,,3.0,-7.0,3.5,,,0.16666666666666666,,,12.0,2.0,24.833333333333332,,,7.833333333333333,,,78.0,21.0,23.5,,,9.5,,,92.0,32.0,71,70,71,70,75,74,72,75,-27.5195720241652,-6,-1.0,,-9.0,-2.0,,-9.0,0.6666666666666667,,-14.0,1.3333333333333321,,-11.0,-1.666666666666667,,-4,-4,-1,-5,2.8,3.4,2.7,2014-15,A
999.2548685691345,1055.8772456188467,,,,7,2.6666666666666665,,,19,,,,,,,6.0,-1.0,4.0,,,1.0,,,21.0,14.0,,,,,,,60.0,18.0,27.166666666666668,,,9.666666666666666,,,107.0,43.0,73,73,73,73,82,82,81,83,-56.62237704971221,-12,,,-15.0,,,-15.0,,,-47.0,,,-25.0,,,-9,-9,-8,-10,8.5,4.75,1.44,2014-15,A
980.7713890728779,990.5419979874853,0.8333333333333334,,,5,,,,6,4.166666666666667,,,-0.8333333333333334,,,11.0,-3.0,,,,,,,3.0,-6.0,26.5,,,9.5,,,74.0,30.0,,,,,,,35.0,9.0,78,78,78,78,72,74,74,75,-9.770608914607351,-1,,,8.0,,,3.0,,,39.0,,,21.0,,,6,4,4,3,1.6,4.0,6.5,2014-15,H
1020.4757701101357,1008.7562954869038,1.8333333333333333,,,11,1.3333333333333333,,,11,3.1666666666666665,,,-0.5,,,12.0,5.0,2.5,,,0.16666666666666666,,,9.0,2.0,26.333333333333332,,,8.333333333333334,,,103.0,31.0,21.166666666666668,,,7.333333333333333,,,72.0,25.0,83,82,81,82,78,77,77,78,11.719474623231918,0,0.5,,3.0,0.6666666666666665,,3.0,-0.6666666666666666,,31.0,5.166666666666664,,6.0,1.0000000000000009,,5,5,4,4,1.45,4.75,8.0,2014-15,H
1009.6256003650188,1000.5503082966121,1.6666666666666667,,,10,1.1666666666666667,,,7,2.0,,,0.0,,,7.0,2.0,1.8333333333333333,,,0.5,,,6.0,1.0,20.5,,,8.166666666666666,,,75.0,32.0,24.666666666666668,,,8.0,,,70.0,22.0,77,75,76,76,76,73,72,74,9.075292068406725,3,0.5,,1.0,0.16666666666666674,,1.0,-0.5,,5.0,-4.166666666666668,,10.0,0.16666666666666607,,1,2,4,2,1.57,4.0,7.0,2014-15,H
971.6310844022854,1000.2946182458936,0.6666666666666666,,,4,1.1666666666666667,,,10,3.0,,,2.0,,,4.0,-10.0,2.8333333333333335,,,0.16666666666666666,,,10.0,0.0,28.0,,,9.0,,,77.0,18.0,25.5,,,9.0,,,112.0,37.0,74,74,71,75,79,78,75,79,-28.663533843608207,-6,-0.5000000000000001,,-6.0,0.16666666666666652,,-10.0,1.8333333333333333,,-35.0,2.5,,-19.0,0.0,,-5,-4,-4,-4,6.0,4.2,1.6,2014-15,A
989.2001153936088,999.1702935873083,,,,5,,,,7,,,,,,,5.0,-2.0,,,,,,,6.0,1.0,,,,,,,69.0,18.0,,,,,,,48.0,18.0,76,75,74,76,77,74,74,75,-9.97017819369944,-2,,,-1.0,,,-3.0,,,21.0,,,0.0,,,-1,1,0,1,2.5,3.3,3.1,2014-15,H
990.2600090345098,1018.7096558604209,1.1666666666666667,,,7,1.8333333333333333,,,11,2.1666666666666665,,,0.8333333333333334,,,6.0,-1.0,3.3333333333333335,,,1.3333333333333333,,,12.0,4.0,23.833333333333332,,,7.166666666666667,,,73.0,19.0,23.666666666666668,,,8.166666666666666,,,75.0,26.0,74,74,71,74,85,80,75,81,-28.44964682591103,-4,-0.6666666666666665,,-6.0,-1.166666666666667,,-5.0,-0.4999999999999999,,-2.0,0.1666666666666643,,-7.0,-0.9999999999999991,,-11,-6,-4,-7,5.0,4.0,1.75,2014-15,D
1009.4714820802476,991.4577154476743,1.6666666666666667,,,13,1.0,,,6,3.0,,,-0.3333333333333333,,,13.0,1.0,3.5,,,0.16666666666666666,,,10.0,-1.0,27.166666666666668,,,9.666666666666666,,,127.0,42.0,26.666666666666668,,,8.333333333333334,,,58.0,22.0,79,78,75,79,75,73,70,73,18.013766632573265,7,0.6666666666666667,,3.0,-0.5,,2.0,-0.5,,69.0,0.5,,20.0,1.3333333333333321,,4,5,5,6,1.44,4.75,8.0,2014-15,D
