Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeStreak,AwayStreak,HC,AC,Season,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR,HomeGD,AwayGD,HomeForm,AwayForm,HomeStreakWeighted,AwayStreakWeighted,HomeGoals,HomeSOT,HomeCorners,AwayGoals,AwaySOT,AwayCorners,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR
2023-09-30,Tottenham,Liverpool,2,1,H,0.8666666666666667,,12,5,2023,83,82,79,81,84,81,84,83,8,6,1.3650480000000003,1.298,0.9555555555555556,,2.6,6.0,,,,,83,82,79,81,84,81,84,83
2023-10-01,Nott'm Forest,Brentford,1,1,D,0.4666666666666667,0.4,1,11,2023,76,76,75,76,75,76,76,77,-2,1,0.8748,0.9622800000000001,0.5777777777777777,0.4888888888888889,1.2,4.0,,1.8,4.4,,76,76,75,76,75,76,76,77
2023-10-02,Fulham,Chelsea,0,2,A,0.3333333333333333,0.3333333333333333,8,1,2023,77,77,76,77,78,81,79,81,-5,0,0.99453,0.88578,0.24444444444444444,0.3333333333333333,0.8,4.2,,1.0,6.8,,77,77,76,77,78,81,79,81
2023-10-03,Luton,Burnley,1,2,A,0.26666666666666666,,7,6,2023,72,71,72,72,73,74,74,74,-7,-7,0.7462530000000002,0.7452000000000001,0.1111111111111111,,0.8,6.2,,,,,72,71,72,72,73,74,74,74
2023-10-07,Luton,Tottenham,0,1,A,0.26666666666666666,0.8666666666666667,5,6,2023,72,71,72,72,83,82,79,81,-8,9,0.6716277000000002,1.4948480000000002,0.2,0.9111111111111111,1.0,6.8,,2.6,7.4,,72,71,72,72,83,82,79,81
2023-10-07,Burnley,Chelsea,1,4,A,0.26666666666666666,0.4666666666666667,7,3,2023,73,74,74,74,78,81,79,81,-6,2,0.8198253000000001,0.985233,0.13333333333333333,0.37777777777777777,1.0,6.4,,1.2,6.2,,73,74,74,74,78,81,79,81
2023-10-07,Everton,Bournemouth,3,0,H,0.26666666666666666,0.13333333333333333,8,7,2023,79,76,75,77,74,74,74,74,-2,-10,0.7457670000000001,0.6836562000000002,0.2222222222222222,0.15555555555555556,1.2,4.2,,0.6,3.8,,79,76,75,77,74,74,74,74
2023-10-07,Fulham,Sheffield United,3,1,H,0.3333333333333333,0.06666666666666667,9,4,2023,77,77,76,77,69,73,72,72,-7,-6,0.895077,0.597051,0.35555555555555557,0.06666666666666667,0.8,4.8,,1.0,3.6,,77,77,76,77,69,73,72,72
2023-10-07,Man United,Brentford,2,1,H,0.4,0.4,7,5,2023,82,84,82,82,75,76,76,77,-4,1,0.8684010000000001,0.9535320000000002,0.4666666666666667,0.5111111111111111,1.2,7.4,,1.6,6.0,,82,84,82,82,75,76,76,77
2023-10-07,Crystal Palace,Nott'm Forest,0,0,D,0.5333333333333333,0.3333333333333333,3,7,2023,75,76,76,76,76,76,75,76,2,-2,1.1776590000000002,0.883548,0.4,0.35555555555555557,1.0,3.6,,1.0,3.0,,75,76,76,76,76,76,75,76
